orden	collection	item_id	asset_type	size	href	signed
1	MDT-50cm	MDT-50cm-282553-09-2024	image/tiff; application=geotiff	18563609	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ae7a8f3e886569b3eccf11839435a056e35ee53fa7395d712f7f0b02c347b059	1
1	MDT-50cm	MDT-50cm-281559-09-2024	image/tiff; application=geotiff	6172264	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/2f25df48fcea3b98e685bb42bfb9051636c8b538d6633be1b22699787a66a2ac	1
1	MDT-50cm	MDT-50cm-281558-09-2024	image/tiff; application=geotiff	19306684	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/708b0a0c06109e805cc37986e53abb4127aa4b7537c93e23e4ac2f95697c07b6	1
1	MDT-50cm	MDT-50cm-281557-09-2024	image/tiff; application=geotiff	18858965	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/9503b3f1f05b402bfa71a254cc7b93a560f3081eb92274e6510d4866c0cfc8f5	1
1	MDT-50cm	MDT-50cm-281556-09-2024	image/tiff; application=geotiff	19449799	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/2b7a3ea6653238df372a21ad0aaa5d87896d9574c628ff670ca7590c7f320b48	1
1	MDT-50cm	MDT-50cm-281555-09-2024	image/tiff; application=geotiff	19999523	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/105ab2085486b64d55e5eb8d141bd975f85e3b5c039c2f8bb2edff5134bba54b	1
1	MDT-50cm	MDT-50cm-281554-09-2024	image/tiff; application=geotiff	19757187	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/0a029370447de68f3cb4fcf28c309d7b6430a53130559b88d7633d7d8dc549a0	1
1	MDT-50cm	MDT-50cm-281553-09-2024	image/tiff; application=geotiff	19498453	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/110cea91cc400866fc47e7b66bd203f9dd08075f96fbe0058ae6ef075d326c36	1
1	MDT-50cm	MDT-50cm-280558-09-2024	image/tiff; application=geotiff	6930515	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/340c151dff67cbd0658453b88a9dd0e6a3ce146f6c5cfa6372a30ea882f58e82	1
1	MDT-50cm	MDT-50cm-280557-09-2024	image/tiff; application=geotiff	19981383	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/8b563a4c16d1859193a8a68149465e84f2e97d9c3526bf61237de84ee256bbce	1
1	MDT-50cm	MDT-50cm-280556-09-2024	image/tiff; application=geotiff	19602125	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ef9d418be8986213483b55ffeab150438f9180ac4bf273c991f4d14b5537e034	1
1	MDT-50cm	MDT-50cm-280555-09-2024	image/tiff; application=geotiff	18983489	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/9bf0b3071c4a3f92c0440ab2c8284d2e816c3a711429b5e05981d87db6cc7a9b	1
1	MDT-50cm	MDT-50cm-280554-09-2024	image/tiff; application=geotiff	19144439	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/aca15f8ccee41528ae8077749a79e8d7cfc701636b2ac7f657944e67e09490de	1
1	MDT-50cm	MDT-50cm-280553-09-2024	image/tiff; application=geotiff	19516189	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/710cb1e1b3e2fed1a2433e082dc5d114e51fb6ad497bcac59bf17d773f4079fa	1
1	MDT-50cm	MDT-50cm-279558-09-2024	image/tiff; application=geotiff	8077512	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/5a9990fe9bc373c4b75a90f0b4ef2b35e0d620e3ea4cc4bc578257cd1e0631b6	1
1	MDT-50cm	MDT-50cm-279557-09-2024	image/tiff; application=geotiff	19439846	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/b81f380aa82cb016e2040b3a1f11070ad6ce87be6d41af344fcda3ac680eda16	1
1	MDT-50cm	MDT-50cm-279556-09-2024	image/tiff; application=geotiff	19317062	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/28983fbae4540444e16c86b717e64b91cc860b04e78eb153a681cefda09545bf	1
1	MDT-50cm	MDT-50cm-279555-09-2024	image/tiff; application=geotiff	19210547	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/04e626b8fe8867016fe8d84dd62a77c3af6ff67f129306d06a72f07d3b326ac5	1
