score_name	dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
fusion_specialist_mean	holdouts	castro_vs_mamoa	201	68	133	0.928019	0.883485	1.000000	0.147059	0.860000	0.632353	0.650000	0.955882	1	36.5
fusion_specialist_mean	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_specialist_mean	holdouts	split:test_trasancos	199	64	135	0.933796	0.877616	1.000000	0.156250	0.840000	0.656250	0.620000	0.968750	1	34.5
fusion_specialist_mean	test	all	2383	528	1855	0.902189	0.758393	1.000000	0.018939	0.940000	0.089015	0.890000	0.168561	1	318.5
fusion_specialist_mean	test	castro_vs_mamoa	1777	528	1249	0.931242	0.881923	1.000000	0.018939	1.000000	0.094697	0.990000	0.187500	1	274.5
fusion_specialist_mean	train	all	8641	1844	6797	0.914456	0.785570	1.000000	0.005423	0.980000	0.026573	0.960000	0.052061	1	1065.0
fusion_specialist_mean	train	castro_vs_mamoa	6816	1844	4972	0.933860	0.879141	1.000000	0.005423	1.000000	0.027115	1.000000	0.054230	1	959.0
fusion_specialist_mean	val	all	1851	359	1492	0.905014	0.755024	1.000000	0.027855	0.940000	0.130919	0.910000	0.253482	1	210.0
fusion_specialist_mean	val	castro_vs_mamoa	1357	359	998	0.909596	0.839961	1.000000	0.027855	1.000000	0.139276	0.980000	0.272981	1	192.0
fusion_specialist_product	holdouts	all	204	68	136	0.925606	0.879808	1.000000	0.147059	0.860000	0.632353	0.630000	0.926471	1	36.5
fusion_specialist_product	holdouts	castro_vs_mamoa	201	68	133	0.927466	0.883413	1.000000	0.147059	0.860000	0.632353	0.650000	0.955882	1	36.5
fusion_specialist_product	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_specialist_product	holdouts	split:test_trasancos	199	64	135	0.933681	0.877705	1.000000	0.156250	0.840000	0.656250	0.620000	0.968750	1	34.5
fusion_specialist_product	test	all	2383	528	1855	0.902905	0.759623	1.000000	0.018939	0.940000	0.089015	0.890000	0.168561	1	318.5
fusion_specialist_product	test	castro_vs_mamoa	1777	528	1249	0.931039	0.881802	1.000000	0.018939	1.000000	0.094697	0.990000	0.187500	1	274.5
fusion_specialist_product	train	all	8641	1844	6797	0.914328	0.785935	1.000000	0.005423	0.980000	0.026573	0.960000	0.052061	1	1065.5
fusion_specialist_product	train	castro_vs_mamoa	6816	1844	4972	0.933278	0.878704	1.000000	0.005423	1.000000	0.027115	1.000000	0.054230	1	959.5
fusion_specialist_product	val	all	1851	359	1492	0.905214	0.755677	1.000000	0.027855	0.940000	0.130919	0.910000	0.253482	1	210.0
fusion_specialist_product	val	castro_vs_mamoa	1357	359	998	0.908940	0.839066	1.000000	0.027855	1.000000	0.139276	0.980000	0.272981	1	192.0
fusion70_specialist30	holdouts	all	204	68	136	0.925389	0.878952	1.000000	0.147059	0.860000	0.632353	0.640000	0.941176	1	36.5
fusion70_specialist30	holdouts	castro_vs_mamoa	201	68	133	0.927355	0.882701	1.000000	0.147059	0.860000	0.632353	0.640000	0.941176	1	36.5
