nome	concello	parroquia	lugar	id_ipaga	cod_impres	tipoloxia	xenerico	ficha	x	y	lon_wgs84	lat_wgs84	observacio
Mámoa do Monte dos Niños 10	Narón	Sedes (Santo Estevo)	Rocha, A	GA15054030	Narón_14920	Túmulo/Mámoa	-	PA.5	570821	4823945	-8.123042037413818	43.565101430074264	O nome correcto é Niños
Mámoa do Monte dos Niños 11	Narón	Sedes (Santo Estevo)	Rocha, A	GA15054031	Narón_14921	Túmulo/Mámoa	-	-	570885	4823922	-8.122252640442483	43.564888276632665	O nome correcto é Niños
Mámoa do Monte dos Niños 12	Narón	Sedes (Santo Estevo)	Rocha, A	GA15054032	Narón_14922	Túmulo/Mámoa	-	PA.5	570913	4823996	-8.121896287031156	43.56555184660101	O nome correcto é Niños
Mámoa do Monte dos Niños 13	Narón	Sedes (Santo Estevo)	Lagoela	GA15054011	Narón_14923	Túmulo/Mámoa	-	PA.5	570416	4823522	-8.128111401700643	43.56133145056332	O nome correcto é Niños
Mámoa do Monte dos Niños 14	Narón	Sedes (Santo Estevo)	Lagoela	GA15054017	Narón_14924	Túmulo/Mámoa	-	-	570581	4823586	-8.126060281375377	43.56189205469592	O nome correcto é Niños
Mámoa do Monte dos Niños 15	Narón	Sedes (Santo Estevo)	Lagoela	GA15054013	Narón_14925	Túmulo/Mámoa	-	-	570607	4823584	-8.125738644532653	43.56187158719188	O nome correcto é Niños
Mámoa do Monte dos Niños 16	Narón	Sedes (Santo Estevo)	Lagoela	GA15054021	Narón_14926	Túmulo/Mámoa	-	PA.5	570424	4823564	-8.128006903238104	43.56170882781417	O nome correcto é Niños
Mámoa do Val/Mámoa de Santa Margarida	Narón	O Val (Santa María A Maior)	Santa Margarida	GA15054018	Narón_14927	Mámoa/Túmulo	-	PA.15	564203	4821825	-8.20522866984784	43.546610330164974	SI.2021.392.INV
O Castro	Narón	Castro (Santa María)	Castro	GA15054004	Narón_14936		-	-	566391	4821621	-8.1781798324184	43.544581317028644	Elemento desprazado 25 m no POL con respecto a localización no PBA
O Castro (Castro de Quintá)	Narón	O Val (Santa María A Maior)	Castro, O	GA15054002	Narón_14937		-	PA.13	563456	4822499	-8.214396988420809	43.55274573295716	
Xacemento do Monte dos Niños	Narón	Sedes (Santo Estevo)	Lagoela	GA15054034	Narón_14948		-	-	570514	4823526	-8.126897587438073	43.56135820349378	O nome correcto é Niños
Antiga fábrica de curtidos	Neda	Santa María de Neda (Santa María)	Camiño da Mercé	GA15055006	Neda_14949		-	-	567703	4815878	-8.162652666024396	43.49276150844256	
Casa na rúa do Castro 1	Neda	Neda (San Nicolás)	Neda	-	Neda_14965		-	40	567927	4816778	-8.159770183927472	43.500844189958286	
Casas acaroadas na rúa do Castro	Neda	Neda (San Nicolás)	Neda	-	Neda_14972		-	40	567886	4816828	-8.160271044445144	43.50129808193526	
Castro de Ancos	Neda	Santa María de Neda (Santa María)	Castros, Os	GA15055002	Neda_14977		-	42	569463	4819093	-8.14047244366622	43.52154202964775	
Castro de Viladonelle	Neda	Viladonelle (Santo André)	Piñón, O	GA15055003	Neda_14978		-	43	571201	4815026	-8.119504115401668	43.484762875184245	
Castros	Neda	Santa María de Neda (Santa María)	Castros, Os	TO15055002	Neda_14979		-	-	568730	4817566	-8.149740461365019	43.50786201500216	
Cazoletas do Monte da Rabadeña	Neda	Santa María de Neda (Santa María)	Rabadeña, A	GA15055005	Neda_14980		ARU	-	568734	4815516	-8.149945022412972	43.489410895341756	Elemento desprazado 117 m con respecto a localización no PBA
Mámoa do Inglés	Neda	Viladonelle (Santo André)	Ladeiro, O	GA15055004	Neda_15013		-	-	573009	4814189	-8.097264031500567	43.47705397155375	
Mámoa do Monte Marraxón	Neda	Santa María de Neda (Santa María)	Carballal, O	GA15055001	Neda_15014		-	-	569839	4815427	-8.136298406955158	43.488503085574244	
Pontella sobre o río Castro	Neda	Anca (San Pedro)	Coveluda, A	-	Neda_15029		-	19	573396	4817582	-8.092020395913993	43.50756563511492	
Torre	Neda	Anca (San Pedro)	O Souto	TO15055001	Neda_15031		DEF	-	571867	4816586	-8.111067339231859	43.49874797376333	
A Croa	San Sadurniño	Naraío (Santa María)	O Batán		San Sadurniño_20165		-	-	574309	4815582	-8.081000277632068	43.48946910625164	
A Croa do Castro	San Sadurniño	Santa Mariña do Monte (Santa Mariña)	Escoitadoira	GA15076004	San Sadurniño_20166		-	-	574811	4825700	-8.073395247811263	43.580510855618954	O planeamento identifica un ben co mesmo nome, situado na parroquia de Narahío
A Croa do Redo	San Sadurniño	Lamas (San Xiao)	Redo	GA15076008	San Sadurniño_20167		-	-	578014	4821981	-8.034265949049319	43.54670389888377	
A Torre	San Sadurniño	Ferreira (San Paio)	O Xestal	GA15076017	San Sadurniño_20168		DEF	-	581489	4819256	-7.991660699390765	43.521799516121675	
