spec_brightness	spec_shape_std	spec_swir_vis_ratio	spec_rededge_slope	spec_dates	osm_id	site_class	name	dates_used	ndvi_median	ndvi_std_over_time	ndvi_min	ndvi_max	ndvi_range	core_contrast_median	core_contrast_abs_max
2288.7875	0.04237542998446718	1.4546892370375628	1760.4375	8.0	459047171	mound	Mámoa das Teixoeiras	8	0.45828133821487427	0.026329935561625474	0.43186724185943604	0.5170266628265381	0.08515942096710205	0.009061276912689209	0.015432178974151611
2142.7125	0.029598834002200824	1.7078031826065814	927.875	8.0	456651505	mound	Mámoa da Planeira (9)	8	0.35002507269382477	0.053447511986645505	0.19979694485664368	0.37780895829200745	0.17801201343536377	0.010911032557487488	0.016942918300628662
2837.36875	0.023063122034986425	1.2898524510461389	1005.25	8.0	456457348	mound	Coto da Esmorga (30)	8	0.36772073805332184	0.10995025634439191	0.04661035165190697	0.40041595697402954	0.3538056053221226	0.024417996406555176	0.03064313530921936
2141.625	0.04202011794144963	1.48640960746464	1635.25	8.0	459465435	mound	Mámoa da Chaeira (38)	8	0.45490095019340515	0.023254171411744618	0.4264797866344452	0.4951438903808594	0.06866410374641418	-0.0012240409851074219	0.005295693874359131
2181.3375	0.03852301432461664	1.6027310331317117	1485.1875	8.0	459465436	mound	Mámoa da Chaeira (37)	8	0.4290440082550049	0.021209366402899523	0.40060093998908997	0.4621223211288452	0.06152138113975525	0.01859608292579651	0.04156637191772461
2158.0375	0.039905457919065176	1.5331074832016807	1533.125	8.0	460106303	mound	Mámoa da Chaeira (35)	8	0.43547558784484863	0.020573918451326813	0.40861743688583374	0.4708421528339386	0.06222471594810486	-0.014275401830673218	0.023676246404647827
2172.25	0.02986586366254625	1.7209994875171934	966.3125	8.0	459898944	mound	Mámoa da Planeira (6)	8	0.3495592623949051	0.04992853451540668	0.21486607193946838	0.3847837746143341	0.16991770267486572	0.03575578331947327	0.04954579472541809
2173.3	0.029896937070102696	1.740866966365838	947.1875	8.0	460218631	mound	Mámoa da Planeira (8)	8	0.34873299300670624	0.050658063111199005	0.20727285742759705	0.377282977104187	0.17001011967658997	0.06345239281654358	0.1120256781578064
2234.70625	0.02970756160060734	1.7217728300951227	1000.625	8.0	461036665	mound	Mámoa das Campeiras	8	0.32619553804397583	0.021218488321293288	0.31339430809020996	0.36364683508872986	0.0502525269985199	-0.011837482452392578	0.024889051914215088
2290.99375	0.02845341451470071	1.7837209801172815	925.0625	8.0	461036666	mound	Mámoa	8	0.30502210557460785	0.03718577386895394	0.2778392434120178	0.37340354919433594	0.09556430578231812	0.006341129541397095	0.029436498880386353
2286.5625	0.028291455767540167	1.785313537858422	933.9375	8.0	460996744	mound	Mámoa da Madorra	8	0.30045056343078613	0.04004430215856355	0.23676611483097076	0.3722125291824341	0.13544641435146332	-0.0030439943075180054	0.03100946545600891
2330.25625	0.030080998265122078	1.463559321549877	1167.8125	8.0	461125484	mound		8	0.39812107384204865	0.08042459519616951	0.16206470131874084	0.4241217374801636	0.26205703616142273	0.08738869428634644	0.10483026504516602
2410.49375	0.028833440653464115	1.4332712474672613	1151.0625	8.0	461125485	mound		8	0.38332056999206543	0.08111634330542755	0.15305083990097046	0.42401716113090515	0.2709663212299347	-0.014038175344467163	0.018045037984848022
2105.19375	0.03262655000510741	1.492259248971252	1162.125	8.0	461125483	mound		8	0.40517981350421906	0.07466475898277868	0.17977431416511536	0.41643226146698	0.23665794730186462	-0.024454191327095032	0.04924815893173218
2111.90625	0.030403965702791906	1.700865800211307	984.0625	8.0	461125482	mound		8	0.36654210090637207	0.05846259965304071	0.1942674219608307	0.38441023230552673	0.19014281034469604	0.006808832287788391	0.012889504432678223
2165.76875	0.030554344695064	1.7021622379113766	1011.6875	8.0	461125487	mound		8	0.3545093387365341	0.019575153849904263	0.31045836210250854	0.37696143984794617	0.06650307774543762	-0.011409446597099304	0.02375677227973938
2157.35625	0.029415258513451965	1.6574349736546203	972.9375	8.0	461125486	mound	Mámoa de Pico do Ponte	8	0.35031379759311676	0.0572319188895695	0.1961848884820938	0.3923238515853882	0.19613896310329437	0.00030603259801864624	0.0034585893154144287
2457.43125	0.026815896009708205	1.489412076221104	1047.1875	8.0	461125490	mound		8	0.3731834590435028	0.08575504169541753	0.11899522691965103	0.3919597268104553	0.2729644998908043	0.021581634879112244	0.03688344359397888
2519.2875	0.025430329140960935	1.5245724336994637	962.1875	8.0	461125491	mound		8	0.3517477661371231	0.08112187378321006	0.1117786169052124	0.36923402547836304	0.25745540857315063	0.023783370852470398	0.03494134545326233
2703.03125	0.027361258683508263	1.5496651781390445	1136.6875	8.0	461125494	mound	Mámoa do Coto Grande	8	0.340482234954834	0.08352205472140416	0.136974036693573	0.42421120405197144	0.28723716735839844	0.01235872507095337	0.07016414403915405
2180.44375	0.028811999334383526	1.733234556012497	930.0	8.0	461144969	mound		8	0.3275924026966095	0.03268444300002601	0.25645220279693604	0.36975425481796265	0.11330205202102661	0.029274925589561462	0.04404550790786743
2707.59375	0.025636694698375217	1.4101555333228453	1126.0625	8.0	461125493	mound		8	0.36936497688293457	0.10387587961722834	0.07389496266841888	0.4175838828086853	0.3436889201402664	-0.019948720932006836	0.02818867564201355
2319.2875	0.02755620229833348	1.6036519643164808	970.3125	8.0	461125492	mound		8	0.34234677255153656	0.06265907919451055	0.1685880422592163	0.3797736167907715	0.21118557453155518	-0.010019958019256592	0.03666520118713379
2183.40625	0.029485546176145468	1.7391876291754673	953.125	8.0	461227297	mound	Mámoa da Planeira (7)	8	0.341615691781044	0.04639411004751439	0.21763479709625244	0.3766997754573822	0.15906497836112976	-0.0428331196308136	0.04846912622451782
2466.3875	0.02496197598322373	1.464799310761962	935.125	8.0	461366119	mound		8	0.3479236960411072	0.08503927984949336	0.09439925849437714	0.3681619167327881	0.27376265823841095	0.020528748631477356	0.02306997776031494
2152.38125	0.02952836032976726	1.707344368679937	966.5625	8.0	461144971	mound	Mámoa da Planeira (5)	8	0.34254924952983856	0.03663544189845443	0.25774794816970825	0.3848556876182556	0.12710773944854736	-0.007179185748100281	0.021205484867095947
2543.9625	0.032474317550846336	1.2400741906959785	1438.8125	8.0	463730626	mound		8	0.414538711309433	0.0873768332681259	0.1602712869644165	0.4493575990200043	0.28908631205558777	-0.006961256265640259	0.02866452932357788
2614.26875	0.031117842166286477	1.3826299712623336	1318.1875	8.0	463742669	mound		8	0.41786180436611176	0.08234566948544429	0.1699635237455368	0.4309796392917633	0.2610161155462265	-0.03628489375114441	0.056363970041275024
