spatial_block_id	province_or_district	municipality	rows	positives	held_out_in_fold	positives_recovered_top_decile	recall_top_decile	median_positive_rank_pct
ES|Lugo|Cervo	Lugo	Cervo	12	5	3	3	0.600000	0.085481
ES|Ourense|Vilardevós	Ourense	Vilardevós	12	5	3	3	0.600000	0.083263
ES|Ourense|Celanova	Ourense	Celanova	15	5	5	3	0.600000	0.094426
ES|Lugo|O Saviñao	Lugo	O Saviñao	79	23	2	14	0.608696	0.083493
ES|A Coruña|Toques	A Coruña	Toques	74	18	3	11	0.611111	0.084334
ES|Lugo|Láncara	Lugo	Láncara	59	31	4	19	0.612903	0.076458
ES|Lugo|Pantón	Lugo	Pantón	67	16	3	10	0.625000	0.069271
ES|Pontevedra|Nigrán	Pontevedra	Nigrán	93	8	3	5	0.625000	0.059446
ES|A Coruña|Teo	A Coruña	Teo	110	8	4	5	0.625000	0.078561
ES|Pontevedra|Gondomar	Pontevedra	Gondomar	101	11	5	7	0.636364	0.052603
ES|Pontevedra|A Estrada	Pontevedra	A Estrada	132	27	1	18	0.666667	0.062237
ES|A Coruña|Ames	A Coruña	Ames	64	9	1	6	0.666667	0.063843
ES|Pontevedra|Salceda de Caselas	Pontevedra	Salceda de Caselas	14	9	2	6	0.666667	0.088998
ES|Lugo|Bóveda	Lugo	Bóveda	21	6	1	4	0.666667	0.084066
ES|A Coruña|Brión	A Coruña	Brión	28	6	2	4	0.666667	0.074165
ES|Lugo|Triacastela	Lugo	Triacastela	7	6	3	4	0.666667	0.073744
ES|Lugo|O Valadouro	Lugo	O Valadouro	48	6	3	4	0.666667	0.038803
ES|Pontevedra|Bueu	Pontevedra	Bueu	32	6	3	4	0.666667	0.075350
ES|Ourense|Avión	Ourense	Avión	41	3	1	2	0.666667	0.081658
ES|Pontevedra|A Lama	Pontevedra	A Lama	57	3	1	2	0.666667	0.054668
ES|A Coruña|Cee	A Coruña	Cee	18	3	1	2	0.666667	0.087927
ES|A Coruña|Fisterra	A Coruña	Fisterra	15	3	1	2	0.666667	0.030430
ES|Ourense|Leiro	Ourense	Leiro	3	3	2	2	0.666667	0.065907
ES|Pontevedra|Fornelos de Montes	Pontevedra	Fornelos de Montes	28	3	2	2	0.666667	0.056656
ES|Pontevedra|Marín	Pontevedra	Marín	32	3	3	2	0.666667	0.033565
ES|A Coruña|Neda	A Coruña	Neda	5	3	4	2	0.666667	0.096796
ES|Pontevedra|Vilaboa	Pontevedra	Vilaboa	31	3	5	2	0.666667	0.087086
ES|Lugo|Sarria	Lugo	Sarria	113	39	3	27	0.692308	0.089762
ES|Lugo|Navia de Suarna	Lugo	Navia de Suarna	51	20	2	14	0.700000	0.033642
ES|Pontevedra|Mondariz	Pontevedra	Mondariz	27	10	1	7	0.700000	0.059523
ES|Lugo|Baralla	Lugo	Baralla	46	34	5	24	0.705882	0.063040
ES|Lugo|A Fonsagrada	Lugo	A Fonsagrada	264	41	2	29	0.707317	0.028060
ES|A Coruña|Malpica de Bergantiños	A Coruña	Malpica de Bergantiños	28	7	4	5	0.714286	0.068354
ES|A Coruña|Bergondo	A Coruña	Bergondo	7	7	4	5	0.714286	0.082652
ES|Pontevedra|Moaña	Pontevedra	Moaña	63	7	5	5	0.714286	0.044117
ES|Lugo|O Incio	Lugo	O Incio	66	25	3	18	0.720000	0.051533
ES|Lugo|Folgoso do Courel	Lugo	Folgoso do Courel	39	27	4	20	0.740741	0.022249
ES|A Coruña|Ortigueira	A Coruña	Ortigueira	71	12	4	9	0.750000	0.054171
ES|A Coruña|Mañón	A Coruña	Mañón	64	4	2	3	0.750000	0.058873
ES|Ourense|San Cristovo de Cea	Ourense	San Cristovo de Cea	16	4	4	3	0.750000	0.064340
ES|Lugo|Samos	Lugo	Samos	54	19	4	15	0.789474	0.043199
ES|Lugo|Quiroga	Lugo	Quiroga	104	29	4	23	0.793103	0.023320
ES|Pontevedra|Meaño	Pontevedra	Meaño	12	5	3	4	0.800000	0.079287
ES|A Coruña|Betanzos	A Coruña	Betanzos	5	5	3	4	0.800000	0.089533
ES|Pontevedra|Crecente	Pontevedra	Crecente	17	5	4	4	0.800000	0.079134
ES|Lugo|Becerreá	Lugo	Becerreá	32	21	3	17	0.809524	0.042129
ES|Lugo|Lourenzá	Lugo	Lourenzá	20	11	4	9	0.818182	0.073782
ES|Pontevedra|A Cañiza	Pontevedra	A Cañiza	81	6	4	5	0.833333	0.069730
ES|A Coruña|Culleredo	A Coruña	Culleredo	25	6	5	5	0.833333	0.058491
ES|Lugo|O Vicedo	Lugo	O Vicedo	17	7	3	6	0.857143	0.070189
ES|Lugo|As Nogais	Lugo	As Nogais	7	7	5	6	0.857143	0.034865
ES|A Coruña|Trazo	A Coruña	Trazo	23	11	4	10	0.909091	0.047634
ES|Lugo|Pedrafita do Cebreiro	Lugo	Pedrafita do Cebreiro	16	8	3	8	1.000000	0.006346
ES|Lugo|Cervantes	Lugo	Cervantes	24	6	1	6	1.000000	0.006958
ES|Ourense|Ourense	Ourense	Ourense	26	5	1	5	1.000000	0.043658
ES|Pontevedra|Covelo	Pontevedra	Covelo	55	5	5	5	1.000000	0.046410
ES|Ourense|Gomesende	Ourense	Gomesende	15	4	2	4	1.000000	0.037541
ES|Lugo|Ribas de Sil	Lugo	Ribas de Sil	15	4	2	4	1.000000	0.017738
ES|Ourense|Coles	Ourense	Coles	3	3	2	3	1.000000	0.041670
ES|Ourense|Rairiz de Veiga	Ourense	Rairiz de Veiga	17	3	4	3	1.000000	0.047098
ES|Ourense|Carballeda de Valdeorras	Ourense	Carballeda de Valdeorras	11	3	4	3	1.000000	0.028901
ES|Ourense|Carballeda de Avia	Ourense	Carballeda de Avia	5	3	5	3	1.000000	0.050386
ES|Ourense|Petín	Ourense	Petín	2	2	1	2	1.000000	0.052909
ES|Pontevedra|Portas	Pontevedra	Portas	5	2	1	2	1.000000	0.070533
ES|Ourense|A Arnoia	Ourense	A Arnoia	6	2	1	2	1.000000	0.016133
ES|Ourense|Chandrexa de Queixa	Ourense	Chandrexa de Queixa	8	2	1	2	1.000000	0.055547
ES|Ourense|A Teixeira	Ourense	A Teixeira	4	2	1	2	1.000000	0.050654
ES|A Coruña|Vilarmaior	A Coruña	Vilarmaior	147	2	3	2	1.000000	0.026072
ES|Ourense|Vilamartín de Valdeorras	Ourense	Vilamartín de Valdeorras	2	2	3	2	1.000000	0.047825
ES|Ourense|Castro Caldelas	Ourense	Castro Caldelas	3	2	4	2	1.000000	0.072636
ES|Ourense|Larouco	Ourense	Larouco	2	2	4	2	1.000000	0.063078
ES|Pontevedra|Redondela	Pontevedra	Redondela	83	2	4	2	1.000000	0.041593
ES|Lugo|Riotorto	Lugo	Riotorto	2	2	5	2	1.000000	0.006919
ES|Ourense|Sandiás	Ourense	Sandiás	4	1	1	1	1.000000	0.037923
ES|Ourense|Cortegada	Ourense	Cortegada	3	1	1	1	1.000000	0.032113
ES|Ourense|Parada de Sil	Ourense	Parada de Sil	1	1	2	1	1.000000	0.020567
ES|Ourense|Esgos	Ourense	Esgos	1	1	2	1	1.000000	0.018044
ES|Ourense|Padrenda	Ourense	Padrenda	8	1	3	1	1.000000	0.030507
ES|Ourense|Xunqueira de Ambía	Ourense	Xunqueira de Ambía	4	1	3	1	1.000000	0.060249
ES|A Coruña|A Coruña	A Coruña	A Coruña	7	1	3	1	1.000000	0.061243
ES|Lugo|Negueira de Muñiz	Lugo	Negueira de Muñiz	7	1	3	1	1.000000	0.000153
ES|A Coruña|A Capela	A Coruña	A Capela	31	1	4	1	1.000000	0.087468
ES|A Coruña|Coirós	A Coruña	Coirós	37	1	5	1	1.000000	0.004740
ES|Ourense|Manzaneda	Ourense	Manzaneda	1	1	5	1	1.000000	0.027296
ES|Ourense|Xunqueira de Espadanedo	Ourense	Xunqueira de Espadanedo	10	1	5	1	1.000000	0.059943
ES|Ourense|Montederramo	Ourense	Montederramo	2	1	5	1	1.000000	0.086016
