theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	I sepolcri a tumulo nelle origini della civiltà iapigia	1973	Philosophie und Wissenschaften, Künste	0		10.1515/9783110833126-013			
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	Revelações de Além Tumulo	1937	Books Abroad	0		10.2307/40078765		en	
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	KARAKTERISTIK TEMPAT BERTELUR BURUNG MAMOA (Eulipoa wallacei GRAY, 1860) DI KECAMATAN GALELA	2013	JURNAL BIOEDUKASI	0		10.33387/bioedu.v1i2.4347			
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	Numa gigantesca mamoa, a necrópole neolítica do Algar do Bom Santo	2020	Kairós	0		10.14195/2184-7193_6_3			
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	I sepolcri a tumulo nelle origini della civiltà iapigia	1973	Philosophie und Wissenschaften, Künste	0		10.1515/9783110833126-031			
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	Á beira do tumulo	1948	Revista da Faculdade de Direito, Universidade de São Paulo	0		10.11606/issn.2318-8235.v43i0p12-14			
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	Dimensiones situadas del trabajo	2022		0		10.55778/ts878875668			 &lt;p&gt;La presente publicación es el resultado de las tareas llevadas a cabo en el marco de dos proyectos de investigación con sede en el Centro de Estudios Sociales (CES) de la Universidad Nacional del Nordeste (UNNE) y acreditados ante la Secretaría General de Ciencia y Técnica (UNNE), y tiene por objetivo difundir los conocimientos elaborados en ellos respecto de distintos ámbitos de las ciencias sociales desde una mirada interdisciplinar.&lt;/p&gt;&lt;p&gt;&lt;span&gt;El libro consta de 12 artículos agrupados en tres secciones temáticas: a) Procesos y formas de organización actuales del trabajo, b) Expresiones del trabajo en la economía social, solidaria y popular, y c) Cultura: experiencias, trabajos y teorizaciones.&lt;/span&gt;&lt;/p&gt; 
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	Escavação arqueológica da Mamoa 4 do “Rapadouro”: (Pendilhe, Vila Nova de Paiva, Viseu)	1997	Conimbriga: Revista de Arqueologia	0		10.14195/1647-8657_36_1		pt	
gallego_mamoas	mamoa tumulo megalitico Galicia dimensiones diametro	crossref	Maroni musa proximus ut tumulo	1992	Revue de l'art	0		10.3917/rda.095.0025			
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	A Anta dos Currais do Galhordas (Castelo de Vide – Centro Leste de Portugal): Resultados da primeira campanha de escavaçã	2013	Estudos do Quaternário / Quaternary Studies	0	yes	10.30893/eq.v0i9.156	http://www.apeq.pt/estudosdoquaternario/index.php/eq/article/download/156/153	pt	A Antas dos Currais do Galhordas é um monumento megalítico composto por câmara poligonal, corredor e mamoa. A primeira campanha de escavação permitiu a identificação de algumas técnicas de construção, bem como a recolha de diversos artefactos, nomeadamente material em pedra lascada e em pedra polida, placas de xisto (lisas e gravadas) e vasos cerâmicos. No âmbito do estudo destes últimos, procedeu-se à análise do conteúdo de um vaso através de cromatografia gasosa com detecção por massa.&#x0D; Não se dispõe ainda de datações absolutas. Todavia, a tipologia dos recipientes cerâmicos aponta para uma cronologia que deverá andar próxima da transição do IV para o III milénio cal BC.&#x0D; Com os trabalhos realizados neste monumento pretende-se contribuir para um melhor conhecimento do fenómeno tumular megalítico, não só do Alto Alentejo, como da Península Ibérica em geral.
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	A Multi-Analytical study of Rock Paintings from Leandro 5 Megalithic Barrow, North-Weastern Portugal	2019	RepositóriUM (Universidade do Minho)	0	yes		http://hdl.handle.net/1822/61932	en	The colourant composition of a northern Portugal megalithic barrow decorated with ‘solar’ motifs was studied using a multi-analytical approach, allowing the characterisa- tion of the painting techniques, pigments and binders. The red pigment was prepared with iron oxide minerals, using vegetal oils as organic additives, while the black pigment was char- coal without any organic additives or binders. The solar motif was first drawn with charcoal and subsequently painted with a red pigment.
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	crossref	Raso de Chirolí: una necróplis tumular en Los Alcores	1992	SPAL. Revista de Prehistoria y Arqueología de la Universidad de Sevilla	0		10.12795/spal.1992.i1.12			
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	crossref	Estudio antropológico de las incineraciones de la Necrópolis Tumular del Corral de Mola (Uncastillo, Zaragoza) / Anthropological study of the incinerations of the Tumular Necropolis of the Corral de Mola (Uncastillo, Zaragoza)	2017	Cuadernos de Prehistoria y Arqueología	0		10.15366/cupauam2017.43.005			
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	crossref	Mounds of Fire! The Tumular Necropolis of Borșa-La Cișmele (Vlădeni, Iași County)	2024	STUDIA ANTIQUA ET ARCHAEOLOGICA	0		10.47743/saa-2024-30-2-10			" North-eastern Romania benefits of a high density of tumuli, belonging to various prehistoric or historic
communities. Previous endeavors of our team have identified within this workspace, with the help of LiDAR data,
aerial photographs and cartographical supports, a number of 1791 of such mounds, usually placed on hilltops, forming
somewhat-linear arrangements, but also exceptional situations, such as the case of the tumular necropolis of Borșa-
La Cișmele, a novel discovery that does not resemble anything studied so far. The site comprises at least six mounds,
out of which we have identified two groups of mounds connected by earthworks, shaping semi-circles. After the
documentation stage, our team has carried out fieldwalks, with which occasion the presence of reddish coloured soil
was observed. This characteristic was signaled only on the surface of the four connected mounds, suggesting that the
tumuli in question were not guarding some inhumation burials, but were witnesses of an impressive cremation ritual.
Thus, the current paper aims at signaling the presence of the monuments in question within the barrow landscape of
NE Romania, as a first step in the research strategy undertaken by our team. "
